id;labour;farm_visit;total_collection;target_date;attendence_hours;achivement_labour;achivement_farm_visit;achivement_total_collection;achivement_attendence_hours;achivement_score;incentive;km_driven;conveyance;is_active;createdd_by;created_time;updated_by;updated_time
1;6682;31269;4163.11;2025-03-26;14367.87;14653;4994;14208.3;3567.71;10987.17;11869.98;28081.42;31109.67;true;wombat adolescent unconscious;2025-03-26T18:16:16;catalyst consequently athwart;2025-03-26T12:16:31
2;5754;16086;3058.51;2025-03-25;23129.14;19400;27992;24149.92;23448.27;29681.36;12158.96;29692.17;15713.05;false;pro deliquesce yowza;2025-03-26T17:14:11;unibody meanwhile;2025-03-26T13:04:43
3;16351;5134;21345.62;2025-03-26;27926.91;14913;32391;20801.57;30561.52;22099.62;2525.4;13030.14;6578.28;true;progress um loudly;2025-03-26T15:25:46;than redraw indeed;2025-03-26T03:27:52
4;22847;8147;23675.71;2025-03-26;27969.81;29839;15389;25793.83;12270.34;2959.76;3677.63;11802.98;26566;true;screw;2025-03-26T09:48:26;hence;2025-03-25T20:21:54
5;20183;22068;6092.97;2025-03-26;22501.52;10753;9444;31580.25;10514.09;23705.59;24206.3;25054.38;9965.17;true;corrupt importance stool;2025-03-26T08:31:28;license before;2025-03-25T19:25:08
6;27693;5780;11372.55;2025-03-25;31668.41;27111;6689;18195.12;16055.25;8732.72;13098.08;18883.99;21216.49;false;provided;2025-03-25T21:31:24;briskly yum;2025-03-26T11:23:50
7;25774;28175;14312.58;2025-03-26;29867.39;8040;13824;4475.73;23054.29;797.32;1763.05;31125.72;22937.13;false;geez;2025-03-26T14:15:40;indeed;2025-03-26T13:09:22
8;27743;6163;6427.32;2025-03-26;9139.62;22253;22625;18240.23;26165.18;5968.3;25763.91;1041.32;4108.89;true;fooey yippee what;2025-03-26T18:02:39;subdued;2025-03-26T10:45:07
9;7978;12735;11606.97;2025-03-26;23120.49;15809;12018;26559.15;897.89;29706.77;13658.73;29427.44;13943.33;true;boo;2025-03-26T05:41:45;gosh;2025-03-25T23:56:59
10;32632;4224;21516.13;2025-03-26;30488.04;7597;22597;11331.02;23766.46;3239.38;27025.95;19101.6;13803.64;true;mmm whether following;2025-03-25T21:18:12;obnoxiously;2025-03-26T12:09:51
