id;carousel_tag;show_view_more;view_more_link;view_more_utm;pixel_link;is_active;createdd_by;created_time;updated_by;updated_time
1;babyish enfold;true;dearly;nor;voluntarily statement;false;waterlogged modulo;2025-03-24T16:50:20;uniform beneficial concerning;2025-03-24T17:53:04
2;though over;true;blah;consequently via boldly;fortunately urgently;true;abandoned convalesce underneath;2025-03-25T11:22:15;exhausted;2025-03-25T09:05:34
3;sudden as down;true;drab;flawed unto while;er;false;although devastation;2025-03-24T15:29:47;faint;2025-03-24T14:20:57
4;slushy venture;true;via badly unfit;phew unlike;boo ack amidst;false;mortally gah;2025-03-25T10:03:19;bah;2025-03-25T02:03:31
5;and not community;false;corner;ride what through;than huzzah unlike;true;quietly;2025-03-24T16:23:27;minus unnaturally;2025-03-24T22:09:37
6;phew;false;um important;huzzah underneath;tribe;true;folklore yet stunt;2025-03-24T21:00:35;wasteful;2025-03-24T18:40:33
7;stack in;true;excluding aw whose;reluctantly bah those;sleepily;false;smog;2025-03-24T14:51:20;meanwhile whoa;2025-03-24T23:25:27
8;haul ouch apologise;false;bah poorly;once upbeat fatally;stormy ick overconfidently;false;than;2025-03-25T12:26:02;whoa oof ouch;2025-03-25T11:49:25
9;hamburger carelessly;false;sham wherever;to past;reiterate;false;mid er remarkable;2025-03-24T16:02:38;ick governance;2025-03-24T19:40:16
10;mmm;false;gladly;bitter concerning gullible;inside nor;false;each;2025-03-25T02:36:21;than woot;2025-03-25T03:49:04
