id;name;cc_id;ffdc_code;ffdc_name;is_active;createdd_by;created_time;updated_by;updated_time
1;where moralise train;nervously within even;jealously freezing;unfortunate govern;false;ambitious;2025-03-26T12:10:53;lest french;2025-03-25T18:07:41
2;coaxingly;ha;yowza boo instead;through;true;whose;2025-03-26T07:09:26;commonly;2025-03-26T03:29:27
3;offset smog upset;fooey nor;farm denitrify;charter instead lid;true;preside;2025-03-25T17:21:49;hierarchy;2025-03-26T07:14:14
4;whereas;geez pretty;how;oh;true;beneath considering;2025-03-26T07:31:36;gurn disrespect;2025-03-26T16:20:44
5;small;heavenly pave;wetly;uncommon prance;false;treble electrify nor;2025-03-26T15:21:44;catalyst unto more;2025-03-25T18:48:52
6;uh-huh;secret because foodstuffs;daily;vainly;false;woot beyond past;2025-03-26T02:01:07;claw;2025-03-26T10:54:03
7;rule event ew;uselessly ha;t-shirt across ha;concerning;false;treasure ew;2025-03-26T10:48:16;pinstripe;2025-03-26T06:30:17
8;submissive;merrily bah;incidentally likable;easily um whereas;true;supposing beyond hasty;2025-03-25T23:27:47;psst;2025-03-26T10:56:24
9;up since;gee now utter;if neighboring;above giant blind;false;willfully circa provision;2025-03-26T15:05:29;amongst sudden;2025-03-25T23:23:19
10;hutch indeed;cemetery utilization brr;hm ugh;after;true;regularly among jovially;2025-03-26T07:22:01;continually;2025-03-25T21:31:27
