id;demand_date;demand_value;is_active;createdd_by;created_time;updated_by;updated_time
1;2025-03-24;10587.22;false;publicity since;2025-03-24T15:30:32;whoever after damp;2025-03-24T20:54:37
2;2025-03-24;19667.31;true;imaginative;2025-03-25T04:56:31;pupil;2025-03-25T09:59:04
3;2025-03-24;22063.9;true;ack;2025-03-24T21:53:26;ownership irritably;2025-03-25T11:35:08
4;2025-03-25;14024.34;false;throughout ick;2025-03-25T08:40:14;blaspheme gah;2025-03-24T20:46:48
5;2025-03-25;6962.38;false;waterspout behind;2025-03-24T20:40:12;gosh;2025-03-24T19:16:10
6;2025-03-24;27799.78;true;unless;2025-03-25T06:40:19;pish lender mid;2025-03-24T14:03:28
7;2025-03-24;30698.95;true;collaboration presume dimly;2025-03-25T00:47:28;um rebuke gosh;2025-03-24T20:58:31
8;2025-03-24;30803.03;false;ouch nor;2025-03-24T20:52:04;coolly righteously;2025-03-24T23:32:50
9;2025-03-24;5280.13;false;formal meh;2025-03-24T21:34:57;afore;2025-03-25T05:00:29
10;2025-03-25;4009.68;true;dulcimer;2025-03-24T22:35:01;annex provided lest;2025-03-24T19:37:41
