id;field_visit_date;field_visit_time;lat;lon;is_active;createdd_by;created_time;updated_by;updated_time
1;2025-03-25;2025-03-26T13:19:00;2435.98;20687.45;false;wildly judgementally when;2025-03-26T16:48:25;thyme;2025-03-25T22:13:28
2;2025-03-26;2025-03-25T21:14:04;5449.56;5162.68;false;commercial down;2025-03-26T15:12:47;highlight surge;2025-03-25T19:21:09
3;2025-03-26;2025-03-26T12:06:14;8094.06;8323.39;true;eek;2025-03-26T05:46:06;internalize;2025-03-26T05:44:35
4;2025-03-25;2025-03-25T22:02:11;14836.64;22014.37;false;wordy;2025-03-25T20:02:48;mountain enrage;2025-03-26T13:06:22
5;2025-03-25;2025-03-25T20:53:06;963.4;28675.34;false;versus;2025-03-26T07:34:48;oof;2025-03-25T21:10:00
6;2025-03-26;2025-03-26T02:12:12;21053.07;7527.11;false;as;2025-03-26T16:18:09;perky know;2025-03-26T00:40:52
7;2025-03-26;2025-03-26T16:42:19;17085.8;24275.74;true;forenenst quick-witted and;2025-03-26T12:45:33;fowl commonly loftily;2025-03-26T17:58:43
8;2025-03-25;2025-03-26T05:10:57;24928.03;11677.07;false;cumbersome upright;2025-03-26T07:28:01;unrealistic;2025-03-26T16:08:49
9;2025-03-25;2025-03-26T16:40:12;31979.5;30924.52;true;house;2025-03-25T19:23:14;briskly sport peaceful;2025-03-26T07:20:49
10;2025-03-26;2025-03-26T02:43:57;18199.64;12753.19;false;shred excluding outstanding;2025-03-25T21:45:43;aboard worth;2025-03-26T12:51:21
