id;frequency_type;hervest_plan_value;hervest_plan_value_min;hervest_plan_value_max;days_of_week;days_of_month;days_of_year;alternate_xdays;start_date;has_end_date;end_date;is_active;createdd_by;created_time;updated_by;updated_time
1;AlternateXDays;17928.96;24851.24;25450.82;ostrich meaty experienced;daintily;emphasize;2217;2025-03-25;true;2025-03-24;true;unless;2025-03-24T17:50:21;obediently diagram;2025-03-25T02:44:31
2;Other;30576.97;32014.51;11930;how;validity;swear;5219;2025-03-25;true;2025-03-25;false;near anaesthetise quizzically;2025-03-24T21:49:13;cautiously really upon;2025-03-25T07:32:02
3;EveryDay;15996.24;15840.17;28326.85;capitalise ew;especially larva supposing;svelte tired geez;162;2025-03-24;false;2025-03-25;true;tall ouch;2025-03-25T01:40:54;interesting completion;2025-03-24T20:12:40
4;EveryDay;5462.45;1770;4693.57;apud;whole lecture;properly;8430;2025-03-25;false;2025-03-25;false;than;2025-03-24T16:42:53;brace woot weird;2025-03-25T06:50:08
5;DaysOfMonth;21765.13;4089.49;15728.33;augment cop-out;juvenile psst;as;15092;2025-03-24;false;2025-03-25;true;lively;2025-03-24T21:22:10;scenario quart throughout;2025-03-25T04:28:35
6;EveryDay;31570.36;5990.26;8360.13;after yippee;modulo;finally;28985;2025-03-24;true;2025-03-24;false;duh decide atop;2025-03-24T22:53:15;pleasant;2025-03-24T22:22:50
7;EveryDay;24535.5;26625.53;7727.2;onto;mantua back given;likewise ouch;427;2025-03-24;false;2025-03-25;false;tiny;2025-03-24T22:58:00;embossing quarrelsome;2025-03-25T04:15:58
8;Other;7999.48;22845.91;8285.93;finally;and recovery simple;while drat;31229;2025-03-25;true;2025-03-25;false;kaleidoscopic brr;2025-03-24T23:21:35;inside;2025-03-25T14:12:24
9;AlternateDate;9493.34;12827.86;12232.91;more horst brave;instantly resource;eyeliner vary;28984;2025-03-24;false;2025-03-24;false;yuck rule;2025-03-25T04:50:41;desk republican;2025-03-24T19:55:53
10;EveryDay;3204.57;29579.31;28042.03;stiffen;phew questioningly;oof;31393;2025-03-25;false;2025-03-24;true;ack under;2025-03-24T22:50:20;once midst mobilize;2025-03-25T13:32:36
