id;area_name;area_type;pincode;is_active;createdd_by;created_time;updated_by;updated_time
1;ick hollow over;Other;18911;false;zesty though;2025-03-26T03:33:20;phew;2025-03-26T12:53:12
2;reassemble versus;State;26559;true;uselessly horse etch;2025-03-26T11:00:03;sternly uselessly;2025-03-26T01:13:45
3;lest democratize;Pincode;3277;false;orchid past;2025-03-26T17:14:09;uh-huh publicity onset;2025-03-26T12:11:19
4;hence except;District;30502;false;embalm about favorite;2025-03-26T11:46:15;yahoo;2025-03-25T22:09:23
5;eek yahoo;State;29789;true;director more;2025-03-26T17:37:32;second-hand fooey;2025-03-25T21:18:07
6;phooey pace;District;9938;true;inside lashes;2025-03-26T18:40:46;shyly yum astride;2025-03-26T00:03:58
7;poppy ruddy;City;6009;false;bah aw until;2025-03-26T07:42:15;inside;2025-03-26T11:13:17
8;sheepishly incidentally whenever;Country;31511;false;overspend;2025-03-25T20:51:38;reborn who;2025-03-26T08:11:26
9;tune-up posh pro;Village;7024;false;opposite meh outfox;2025-03-26T13:22:47;forage;2025-03-26T09:27:47
10;dimly incidentally right;Pincode;5241;true;whenever gripper;2025-03-26T11:21:13;round;2025-03-25T22:54:05
