id;confirm_date;confirm_value;pickup_by;pickup_time;is_active;createdd_by;created_time;updated_by;updated_time
1;2025-03-24;2440.93;owlishly jittery;hence excitedly;false;adolescent;2025-03-25T00:25:56;huzzah cram;2025-03-24T14:02:01
2;2025-03-24;8603.52;soon timely wing;thankfully;false;reward reorient;2025-03-25T05:24:20;integer;2025-03-24T20:26:27
3;2025-03-25;6250.14;though;merry excluding;false;as;2025-03-24T15:52:47;dreamily farmer idle;2025-03-25T02:15:48
4;2025-03-24;27258.96;furiously;regular nervously circa;true;to blah;2025-03-24T19:02:17;equally proselytise;2025-03-24T21:09:56
5;2025-03-25;32471.98;these celebrate concrete;than fluffy wash;false;reconsideration;2025-03-24T15:22:38;uh-huh;2025-03-25T01:34:21
6;2025-03-24;17912.59;rival since given;yippee;true;scrape satirise harvest;2025-03-24T15:20:38;illustrious;2025-03-25T08:15:14
7;2025-03-25;17208.82;retool against;pfft;false;petty dramatize bleakly;2025-03-25T12:25:13;with meanwhile silky;2025-03-24T18:19:14
8;2025-03-24;19897.67;hunt happy-go-lucky railway;merry fondly properly;false;apud char;2025-03-25T01:34:06;amidst;2025-03-24T23:49:12
9;2025-03-24;32285.5;while pastel ouch;queasy;true;now venture rapidly;2025-03-25T04:51:51;so tousle;2025-03-25T10:57:27
10;2025-03-25;15070.98;hence schematise notwithstanding;loose miskey;false;memorise or;2025-03-25T05:19:13;misguided madly;2025-03-25T12:15:24
