id;price_date;price_value;is_active;createdd_by;created_time;updated_by;updated_time
1;2025-03-25;27090.73;false;since pfft skean;2025-03-24T19:27:14;before;2025-03-25T13:29:43
2;2025-03-24;18487.69;false;laughter yippee;2025-03-24T14:46:12;knowledgeably;2025-03-25T13:47:37
3;2025-03-25;2629.22;true;coolly;2025-03-25T00:29:25;paintwork;2025-03-25T10:50:25
4;2025-03-25;22147.73;true;whereas considering queasily;2025-03-24T15:50:13;oh;2025-03-24T15:30:55
5;2025-03-25;11042.26;false;uneven;2025-03-25T12:57:30;edge pretty;2025-03-24T21:02:12
6;2025-03-25;32255.77;false;once sometimes retrospectivity;2025-03-24T15:10:57;anenst gee;2025-03-25T03:01:29
7;2025-03-24;11210.01;true;safely;2025-03-25T03:59:45;and why;2025-03-25T03:34:14
8;2025-03-25;16587.13;false;before sore eek;2025-03-24T21:54:41;hence yum apud;2025-03-24T14:25:24
9;2025-03-25;28793.63;false;afford stiff fray;2025-03-24T19:10:12;however bah floss;2025-03-24T15:50:29
10;2025-03-24;3070.38;false;boldly incidentally;2025-03-24T15:36:26;since mismatch absentmindedly;2025-03-25T02:27:25
