id;confirm_date;confirm_value;is_active;createdd_by;created_time;updated_by;updated_time
1;2025-03-25;7326;true;in um pave;2025-03-24T21:51:22;indeed phooey;2025-03-25T10:22:51
2;2025-03-25;17406.61;false;row;2025-03-25T02:59:34;mixed heartfelt;2025-03-24T22:57:08
3;2025-03-24;20098.14;false;pish;2025-03-25T12:34:38;consequently vibration;2025-03-25T11:58:27
4;2025-03-25;23515.19;false;yahoo powerful;2025-03-25T11:21:49;make sparse ugh;2025-03-24T21:00:38
5;2025-03-24;26423.99;false;the hmph;2025-03-25T00:48:02;um repurpose yearningly;2025-03-24T21:10:06
6;2025-03-25;17831.55;false;because;2025-03-24T16:37:05;overconfidently fearless once;2025-03-24T21:25:34
7;2025-03-25;27026.39;true;via since jagged;2025-03-24T15:12:27;drat;2025-03-25T13:07:22
8;2025-03-25;11071.16;false;curiously;2025-03-25T00:03:15;perky;2025-03-24T19:22:11
9;2025-03-25;21162.49;true;joyful jell;2025-03-25T08:51:52;nor where;2025-03-25T11:41:03
10;2025-03-24;18598.01;false;trash completion smoothly;2025-03-25T11:16:31;oh gosh;2025-03-25T10:20:02
